timestamp,event_type,source,target,punk_id,punk_type
1609340781,PunkTransfer,0xe614065a4ac6d478f141db4595325b537ffa2ea5,0x7ea6030486fabd4844785c99a13dfd66ca05b386,3831,Zombie
1609349076,PunkTransfer,0xbf6ccf49cc2874f01916d747a8fe97f14a082be0,0xb4496906d6ea2685e7a46a14baefae9fe3bf0d2f,2681,Zombie
1609376393,PunkTransfer,0x10725af1f2919d0acc5cf294285d97710f980490,0xc0f6a1b0f64108d2e3a7ef0eaf4d4aa4bdf3b31e,2424,Zombie
1609376504,PunkTransfer,0xc0f6a1b0f64108d2e3a7ef0eaf4d4aa4bdf3b31e,0xb7f7f6c52f2e2fdb1963eab30438024864c313f6,2424,Zombie
1609387965,PunkTransfer,0xb7f7f6c52f2e2fdb1963eab30438024864c313f6,0x10725af1f2919d0acc5cf294285d97710f980490,5066,Zombie
1609500540,PunkBought,0x8321795bdace7428d4fadfa30c2ee8e727e491e5,0x7224a1a8750d77c182d7ade10b8edcbd3aae0e2d,9368,Zombie
1609609140,PunkTransfer,0x7ea6030486fabd4844785c99a13dfd66ca05b386,0xe614065a4ac6d478f141db4595325b537ffa2ea5,3831,Zombie
1609654899,PunkTransfer,0x10725af1f2919d0acc5cf294285d97710f980490,0xc0f6a1b0f64108d2e3a7ef0eaf4d4aa4bdf3b31e,5066,Zombie
1609655115,PunkTransfer,0xc0f6a1b0f64108d2e3a7ef0eaf4d4aa4bdf3b31e,0xb7f7f6c52f2e2fdb1963eab30438024864c313f6,5066,Zombie
1609657198,PunkTransfer,0xb7f7f6c52f2e2fdb1963eab30438024864c313f6,0x10725af1f2919d0acc5cf294285d97710f980490,9997,Zombie
1609782761,PunkTransfer,0xd387a6e4e84a6c86bd90c158c6028a58cc8ac459,0xe4c63b09f3823c567deb28bc0306553a90fdd6b0,6649,Zombie
1609795732,PunkTransfer,0xe4c63b09f3823c567deb28bc0306553a90fdd6b0,0xe614065a4ac6d478f141db4595325b537ffa2ea5,6649,Zombie
1609863680,PunkTransfer,0xe83c750b2708320bb134796c555b80df39a3d97b,0xb88f61e6fbda83fbfffabe364112137480398018,3211,Zombie
1610136594,PunkTransfer,0xf0d6999725115e3ead3d927eb3329d63afaec09b,0xcf74e42266de87aa1a3dfe1e1c5f46db0ac752b2,1190,Zombie
1610943526,PunkBought,0xe614065a4ac6d478f141db4595325b537ffa2ea5,0xf1b65881041243cb07b9a2067014350239af4116,6649,Zombie
1610943814,PunkBought,0xe614065a4ac6d478f141db4595325b537ffa2ea5,0xf1b65881041243cb07b9a2067014350239af4116,3831,Zombie
1611072510,PunkTransfer,0xf1b65881041243cb07b9a2067014350239af4116,0xd387a6e4e84a6c86bd90c158c6028a58cc8ac459,6649,Zombie
1611406717,PunkBought,0xd387a6e4e84a6c86bd90c158c6028a58cc8ac459,0xbe7516aef9d60c11f9a8d870736137dbdd8a22df,6649,Zombie
1611490682,PunkTransfer,0xbe7516aef9d60c11f9a8d870736137dbdd8a22df,0x76c0059ccbbd28d5515f9c9db5292a3f0365462e,6649,Zombie
1611490941,PunkTransfer,0x76c0059ccbbd28d5515f9c9db5292a3f0365462e,0xb7f7f6c52f2e2fdb1963eab30438024864c313f6,6649,Zombie
1611509287,PunkBought,0xf1b65881041243cb07b9a2067014350239af4116,0xf6bc89cc57e33c4e8053c4d8e63b70bf8c47e1a1,3831,Zombie
1611681294,PunkTransfer,0xb7f7f6c52f2e2fdb1963eab30438024864c313f6,0xbe7516aef9d60c11f9a8d870736137dbdd8a22df,2306,Zombie
1611727202,PunkTransfer,0x10725af1f2919d0acc5cf294285d97710f980490,0xc0f6a1b0f64108d2e3a7ef0eaf4d4aa4bdf3b31e,9997,Zombie
1611727313,PunkTransfer,0xc0f6a1b0f64108d2e3a7ef0eaf4d4aa4bdf3b31e,0xb7f7f6c52f2e2fdb1963eab30438024864c313f6,9997,Zombie
1611778682,PunkTransfer,0xb7f7f6c52f2e2fdb1963eab30438024864c313f6,0x10725af1f2919d0acc5cf294285d97710f980490,9997,Zombie
1611860160,PunkTransfer,0x9aa6eb65f042e197d1293f36c5bb887dfb9e585c,0x389747708cfe615ca6825243d476c0ebe268e192,8857,Zombie
