source,target,punk_type,event_type,punk_id,timestamp
0x0000000000000000000000000000000000000000,0x585f98cf291f081405412edafcf471d19003ca9c,Ape,Assign,7191,1498240500
0x0000000000000000000000000000000000000000,0x585f98cf291f081405412edafcf471d19003ca9c,Ape,Assign,8219,1498243329
0x0000000000000000000000000000000000000000,0xaac01287db710d7f8c7cfbaee833c8b8b3546c3e,Ape,Assign,2140,1498231506
0x0000000000000000000000000000000000000000,0xaac01287db710d7f8c7cfbaee833c8b8b3546c3e,Zombie,Assign,8909,1498245202
0x0000000000000000000000000000000000000000,0x5462dee16b3f4d240ebbe52c9c4214c912ccdda4,Zombie,Assign,1374,1498230170
0x0000000000000000000000000000000000000000,0x5462dee16b3f4d240ebbe52c9c4214c912ccdda4,Zombie,Assign,1478,1498230308
0x0000000000000000000000000000000000000000,0x5462dee16b3f4d240ebbe52c9c4214c912ccdda4,Zombie,Assign,1886,1498231075
0x0000000000000000000000000000000000000000,0x5462dee16b3f4d240ebbe52c9c4214c912ccdda4,Zombie,Assign,1935,1498231311
0x0000000000000000000000000000000000000000,0x5462dee16b3f4d240ebbe52c9c4214c912ccdda4,Zombie,Assign,2066,1498231486
0x0000000000000000000000000000000000000000,0x5462dee16b3f4d240ebbe52c9c4214c912ccdda4,Zombie,Assign,2249,1498231682
0x0000000000000000000000000000000000000000,0x5462dee16b3f4d240ebbe52c9c4214c912ccdda4,Zombie,Assign,2338,1498231956
0x0000000000000000000000000000000000000000,0x5462dee16b3f4d240ebbe52c9c4214c912ccdda4,Zombie,Assign,2306,1498231956
0x0000000000000000000000000000000000000000,0x5462dee16b3f4d240ebbe52c9c4214c912ccdda4,Zombie,Assign,2424,1498232169
0x0000000000000000000000000000000000000000,0x5462dee16b3f4d240ebbe52c9c4214c912ccdda4,Zombie,Assign,2566,1498232232
0x0000000000000000000000000000000000000000,0x5462dee16b3f4d240ebbe52c9c4214c912ccdda4,Zombie,Assign,2708,1498232757
0x0000000000000000000000000000000000000000,0x5462dee16b3f4d240ebbe52c9c4214c912ccdda4,Zombie,Assign,2938,1498232917
0x0000000000000000000000000000000000000000,0x5462dee16b3f4d240ebbe52c9c4214c912ccdda4,Zombie,Assign,2967,1498232937
0x0000000000000000000000000000000000000000,0x5462dee16b3f4d240ebbe52c9c4214c912ccdda4,Zombie,Assign,3211,1498233143
0x0000000000000000000000000000000000000000,0x5462dee16b3f4d240ebbe52c9c4214c912ccdda4,Zombie,Assign,3328,1498233525
0x0000000000000000000000000000000000000000,0x5462dee16b3f4d240ebbe52c9c4214c912ccdda4,Zombie,Assign,3393,1498233533
0x0000000000000000000000000000000000000000,0x5462dee16b3f4d240ebbe52c9c4214c912ccdda4,Zombie,Assign,3493,1498233572
0x0000000000000000000000000000000000000000,0x5462dee16b3f4d240ebbe52c9c4214c912ccdda4,Zombie,Assign,3489,1498233572
0x0000000000000000000000000000000000000000,0x5462dee16b3f4d240ebbe52c9c4214c912ccdda4,Zombie,Assign,3609,1498233998
0x0000000000000000000000000000000000000000,0x5462dee16b3f4d240ebbe52c9c4214c912ccdda4,Zombie,Assign,3831,1498234582
0x0000000000000000000000000000000000000000,0x5462dee16b3f4d240ebbe52c9c4214c912ccdda4,Zombie,Assign,4747,1498235132
0x0000000000000000000000000000000000000000,0x5462dee16b3f4d240ebbe52c9c4214c912ccdda4,Zombie,Assign,5066,1498235589
0x0000000000000000000000000000000000000000,0x5462dee16b3f4d240ebbe52c9c4214c912ccdda4,Zombie,Assign,5742,1498236859
0x0000000000000000000000000000000000000000,0x5462dee16b3f4d240ebbe52c9c4214c912ccdda4,Zombie,Assign,5944,1498237322
0x0000000000000000000000000000000000000000,0x5462dee16b3f4d240ebbe52c9c4214c912ccdda4,Zombie,Assign,6586,1498238769
0x0000000000000000000000000000000000000000,0x5462dee16b3f4d240ebbe52c9c4214c912ccdda4,Zombie,Assign,6649,1498238794
0x0000000000000000000000000000000000000000,0x5462dee16b3f4d240ebbe52c9c4214c912ccdda4,Zombie,Assign,6784,1498239354
0x0000000000000000000000000000000000000000,0x5462dee16b3f4d240ebbe52c9c4214c912ccdda4,Zombie,Assign,7121,1498240367
0x0000000000000000000000000000000000000000,0x5462dee16b3f4d240ebbe52c9c4214c912ccdda4,Zombie,Assign,8307,1498243818
0x0000000000000000000000000000000000000000,0x5462dee16b3f4d240ebbe52c9c4214c912ccdda4,Zombie,Assign,8531,1498244113
0x0000000000000000000000000000000000000000,0x5462dee16b3f4d240ebbe52c9c4214c912ccdda4,Zombie,Assign,8472,1498244113
0x0000000000000000000000000000000000000000,0x5462dee16b3f4d240ebbe52c9c4214c912ccdda4,Zombie,Assign,8553,1498244141
0x0000000000000000000000000000000000000000,0x5462dee16b3f4d240ebbe52c9c4214c912ccdda4,Zombie,Assign,8780,1498244624
0x0000000000000000000000000000000000000000,0x5462dee16b3f4d240ebbe52c9c4214c912ccdda4,Zombie,Assign,9203,1498245700
0x0000000000000000000000000000000000000000,0x5462dee16b3f4d240ebbe52c9c4214c912ccdda4,Zombie,Assign,9474,1498246081
0x0000000000000000000000000000000000000000,0x723e66adff8760d522dd500e83ba56a3203aab33,Zombie,Assign,1658,1498230678
0x0000000000000000000000000000000000000000,0x723e66adff8760d522dd500e83ba56a3203aab33,Zombie,Assign,1748,1498230728
0x0000000000000000000000000000000000000000,0x723e66adff8760d522dd500e83ba56a3203aab33,Zombie,Assign,4874,1498235373
0x0000000000000000000000000000000000000000,0x723e66adff8760d522dd500e83ba56a3203aab33,Zombie,Assign,5299,1498235955
0x0000000000000000000000000000000000000000,0x723e66adff8760d522dd500e83ba56a3203aab33,Zombie,Assign,5253,1498235955
0x0000000000000000000000000000000000000000,0x723e66adff8760d522dd500e83ba56a3203aab33,Zombie,Assign,5336,1498236007
0x0000000000000000000000000000000000000000,0x723e66adff8760d522dd500e83ba56a3203aab33,Zombie,Assign,5312,1498236007
0x0000000000000000000000000000000000000000,0x723e66adff8760d522dd500e83ba56a3203aab33,Zombie,Assign,5489,1498236295
0x0000000000000000000000000000000000000000,0x723e66adff8760d522dd500e83ba56a3203aab33,Zombie,Assign,5761,1498236979
0x0000000000000000000000000000000000000000,0x723e66adff8760d522dd500e83ba56a3203aab33,Zombie,Assign,6515,1498238708
0x0000000000000000000000000000000000000000,0x723e66adff8760d522dd500e83ba56a3203aab33,Zombie,Assign,7014,1498240341
0x0000000000000000000000000000000000000000,0x723e66adff8760d522dd500e83ba56a3203aab33,Zombie,Assign,7127,1498240367
